trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
35,0.5,2.0,152.6518317000009,153.15210440004012,153.15210440004012,153.15210440004012,153.45175070001278,right,2.0,1,1,-67.8505183000816,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
36,0.5,2.0,153.75185619998956,154.25195410003653,154.25195410003653,154.25195410003653,154.5515869000228,left,-2.0,0,0,-66.90980900009163,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
37,0.5,2.5,155.78505679999944,156.28534790000413,156.28534790000413,156.28534790000413,156.58512350003002,right,2.5,1,1,-67.48471710004378,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
38,0.5,2.5,157.23504729999695,157.73518600000534,157.73518600000534,157.73518600000534,158.0350059000193,left,-2.5,1,1,-67.69410700001754,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
39,0.5,2.5,158.48505170003045,158.98491170001216,158.98491170001216,158.98491170001216,159.2849076000275,right,2.5,1,1,-67.314862200059,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
40,0.5,2.0,160.11831859999802,160.61836379999295,160.61836379999295,160.61836379999295,160.91806689999066,left,-2.0,0,0,-67.17113760003122,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
41,0.5,2.5,161.88482380000642,162.38485680002486,162.38485680002486,162.38485680002486,162.68484530004207,right,2.5,1,1,-67.51978450006573,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
42,0.5,2.5,163.30150820000563,163.80156809999608,163.80156809999608,163.80156809999608,164.10123359999852,right,2.5,1,1,-66.50750830001198,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
43,0.5,2.5,165.73477700003423,166.2348358000163,166.2348358000163,166.2348358000163,166.53472320002038,left,-2.5,1,1,-67.76766960002715,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
44,0.5,2.0,166.9013862000429,167.4013435000088,167.4013435000088,167.4013435000088,167.70123250002507,left,-2.0,1,1,-67.55219500005478,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
45,0.5,2.0,168.28463280003052,168.78473940002732,168.78473940002732,168.78473940002732,169.08456170000136,left,-2.0,1,1,-65.89671890006866,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
46,0.5,2.0,171.3345106000197,171.83463709999342,171.83463709999342,171.83463709999342,172.13441500003682,right,2.0,1,1,-67.45009750005556,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
47,0.5,1.5,172.83449520001886,173.33467110001948,173.33467110001948,173.33467110001948,173.6344487000024,left,-1.5,1,1,-67.57466440001735,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
48,0.5,1.5,174.20103080000263,174.70115410001017,174.70115410001017,174.70115410001017,175.00087829999393,left,-1.5,1,1,-67.5179031000007,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
49,0.5,1.5,175.61768429999938,176.1178690000088,176.1178690000088,176.1178690000088,176.4176477000001,right,1.5,0,0,-67.4362056000391,422452,001,2023-09-06_13h47.04.949,staircase_adaptive_1,2023.1.3,60.00556850327399,
